codeIataAirport,codeIcaoAirport,Country/Region,Province/State
CEI,VTCT,Thailand,
CEK,USCC,Russia,
CEN,MMCN,Mexico,
CEO,FNWK,Angola,
CEP,SLCP,Bolivia,
CEQ,LFMD,France,
CER,LFRC,France,
CES,YCNK,Australia,New South Wales
CET,,France,
CFB,SBCB,Brazil,
CFC,SBCD,Brazil,
CFE,LFLC,France,
CFF,FNCF,Angola,
CFG,MUCF,Cuba,
CFH,,Australia,South Australia
CFI,YCFD,Australia,Northern Territory
CFN,EIDL,Ireland,
CFO,SJHG,Brazil,
CFP,,Australia,Queensland
CFQ,,Canada,British Columbia
CFR,LFRK,France,
CFS,YSCH,Australia,Queensland
CFU,LGKR,Greece,
CGB,SBCY,Brazil,
CGC,,Papua New Guinea,
CGD,ZGCD,China,Hunan
CGG,,Philippines,
CGH,SBSP,Brazil,
CGJ,,Zambia,
CGK,WIII,Indonesia,
CGM,,Philippines,
CGN,EDDK,Germany,
CGO,ZHCC,China,Henan
CGP,VGEG,Bangladesh,
CGQ,ZYCC,China,Jilin
CGR,SBCG,Brazil,
CGT,,Mauritania,
CGU,,Venezuela,
CGV,YCAG,Australia,Western Australia
CGY,RPML,Philippines,
CHB,,Pakistan,
CHC,NZCH,New Zealand,
CHE,,Estonia,
CHG,ZYCY,China,Liaoning
CHH,SPPY,Peru,
CHJ,FVCH,Zimbabwe,
CHM,SPEO,Peru,
CHQ,LGSA,Greece,
CHR,LFLX,France,
CHT,NZCI,New Zealand,
CHV,LPCH,Portugal,
CHW,,China,Gansu
CHX,MPCH,Panama,
CIA,LIRA,Italy,
CIE,,Australia,Western Australia
CIF,ZBCF,China,Beijing
CIH,ZBCZ,China,Shanxi
CII,LTBD,Turkey,
CIJ,SLCO,Bolivia,
CIM,SKCM,Colombia,
CIO,SGCO,Paraguay,
CIP,FLCP,Zambia,
CIQ,,Guatemala,
CIT,UAII,Kazakhstan,
CIW,TVSC,Saint Vincent and the Grenadines,
CIX,SPHI,Peru,
CIY,LICB,Italy,
CIZ,SWKO,Brazil,
CJA,SPJB,Peru,
CJB,VOCB,India,
CJD,,Colombia,
CJH,,Canada,British Columbia
CJL,OPCH,Pakistan,
CJM,VTSE,Thailand,
CJS,MMCS,Mexico,
CJT,MMCO,Mexico,
CKC,UKKE,Ukraine,
CKG,ZUCK,China,Chongqing
CKH,UESO,Russia,
CKI,YCKI,Australia,Northern Territory
CKL,UUMU,Russia,
CKO,SSCP,Brazil,
CKS,SBCJ,Brazil,
CKT,OIMC,Iran,
CKW,,Australia,Queensland
CKY,GUCY,Guinea,
CKZ,LTBH,Turkey,
CLA,VGCM,Bangladesh,
CLH,YCAH,Australia,New South Wales
